101 E McNab Rd Apt 405, Pompano Beach, FL 33060
10741 Cleary Blvd Apt 204, Plantation, FL 33324
13500 NE 3rd Ct Apt 420, North Miami, FL 33161
14111 Royal Vista Dr Apt 304, Delray Beach, FL 33484
1428 SE 4th Ave Apt 266, Deerfield Beach, FL 33441
14426 Amberly Ln Apt 105, Delray Beach, FL 33446
1524 NW 59th St, Miami, FL 33142
1581 NE 34th Ct Apt 215, Oakland Park, FL 33334
1604 NW 7th St, Fort Lauderdale, FL 33311
1655 W 44th Pl Apt 428, Hialeah, FL 33012
1655 W 44th Pl Apt 528, Hialeah, FL 33012
1691 SW 83rd Ave, Davie, FL 33324
2000 Buchanan St Apt 6, Hollywood, FL 33020
201 S Golf Blvd Apt 2003, Pompano Beach, FL 33064
208 Tilford J, Deerfield Beach, FL 33442
235 Burgundy E, Delray Beach, FL 33484
2426 SE 17th St Apt A210, Fort Lauderdale, FL 33316
2859 Leonard Dr Apt G205, Aventura, FL 33160
2991 NW 46th Ave Apt 210, Lauderdale Lakes, FL 33313
2999 NW Nw 48th Ave Unit 247, Lauderdale Lakes, FL 33313
3100 N Course Ln Apt 507, Pompano Beach, FL 33069
3375 N Country Club Dr Apt 1004, Aventura, FL 33180
375 Tuscany G, Delray Beach, FL 33446
3881 W Flagler St Apt 329, Miami, FL 33134
4161 NW 26th St Apt 206, Lauderhill, FL 33313
4166 Inverrary Dr Apt 304, Lauderhill, FL 33319
4172 Inverrary Dr Apt 511, Lauderhill, FL 33319
5120 SW 40th Ave Unit 26A, Dania Beach, FL 33314
5140 SW 40th Ave Apt 23C, Dania Beach, FL 33314
5160 SW 40th Ave Apt 4D, Dania Beach, FL 33314
5300 NE 24th Ter Unit 532C, Fort Lauderdale, FL 33308
5800 Princess Palm Ct Apt C, Delray Beach, FL 33484
600 SW 2nd Ave Apt 143, Boca Raton, FL 33432
665 Enfield St Apt B10, Boca Raton, FL 33487
6805 Willow Wood Dr Apt 5075, Boca Raton, FL 33434
6960 Miami Gardens Dr Unit 2-429, Hialeah, FL 33015
7305 NW 4th Pl Apt 201, Margate, FL 33063
7552 Ashmont Cir Unit 310, Tamarac, FL 33321
7910 SW 9th St, North Lauderdale, FL 33068
8200 N Sunrise Lakes Blvd Unit 307, Sunrise, FL 33322
836 NW 15th Ave, Fort Lauderdale, FL 33311
9022 NE 8th Ave Apt 3M, Miami Shores, FL 33138
9587 Weldon Cir Apt B107, Tamarac, FL 33321
9680 S Belfort Cir Unit 104, Tamarac, FL 33321
